symbol,mcap_eur_bn,drop_reason,gross_margin,revenue_growth,name
COR,44.3,gross_margin,0.03796,0.038,"Cencora, Inc."
KBC.BR,44.1,gross_margin,0.0,0.064,KBC
BMW.DE,43.3,gross_margin,0.13136,-0.081,BAYERISCHE MOTOREN WERKE AG   S
P911.DE,43.3,gross_margin,0.14064,-0.052,Dr. Ing. h.c. F. Porsche AG   I
ODFL,41.9,revenue_growth,0.38946,-0.029,"Old Dominion Freight Line, Inc."
FER.AS,40.9,avg_volume,0.87442,0.057,Ferrovial N.V.
RWE.DE,40.8,revenue_growth,0.37570998,-0.328,RWE AG                        I
SHB-B.ST,40.4,gross_margin,0.0,-0.093,Svenska Handelsbanken ser. B
CBK.DE,39.9,gross_margin,0.0,0.043,Commerzbank AG                I
CAH,39.7,gross_margin,0.037550002,0.11,"Cardinal Health, Inc."
EBS.VI,39.0,gross_margin,0.0,0.289,Erste Group Bank AG
FITB,39.0,gross_margin,0.0,0.33,Fifth Third Bancorp
DGE.L,37.9,revenue_growth,0.60003,-0.04,DIAGEO PLC ORD 28 101/108P
SGO.PA,37.8,gross_margin,0.27836,-0.021,SAINT GOBAIN
STT,37.8,gross_margin,0.0,-0.028,State Street Corporation
COIN,37.6,revenue_growth,0.85475,-0.308,"Coinbase Global, Inc."
LONN.SW,37.1,revenue_growth,0.35966998,,LONZA N
SCMN.SW,37.0,avg_volume,0.58134,-0.041,SWISSCOM N
SREN.SW,36.7,gross_margin,0.20421,-0.02,SWISS RE N
DHI,35.5,gross_margin,0.21597,-0.023,"D.R. Horton, Inc."
ADM,35.2,gross_margin,0.062979996,0.016,Archer-Daniels-Midland Company
JBL,34.6,gross_margin,0.09037,0.231,Jabil Inc.
BAYN.DE,34.1,revenue_growth,0.59918,-0.024,Bayer AG                      N
STLD,34.1,gross_margin,0.14038,0.191,"Steel Dynamics, Inc."
SWED-A.ST,34.1,gross_margin,0.0,-0.032,Swedbank AB ser A
CCI,33.9,revenue_growth,0.73819,-0.048,Crown Castle Inc.
HUM,33.9,gross_margin,0.14006,0.235,Humana Inc.
ASSA-B.ST,33.2,revenue_growth,0.43120998,-0.058,ASSA ABLOY AB ser. B
RKT.L,33.0,revenue_growth,0.60780996,,RECKITT BENCKISER GROUP PLC ORD
LYV,32.8,gross_margin,0.25868,0.122,"Live Nation Entertainment, Inc."
SSE.L,32.6,revenue_growth,0.37050998,-0.021,SSE PLC ORD 50P
KR,32.5,gross_margin,0.241,0.012,Kroger Company (The)
DTG.DE,32.4,gross_margin,0.17694001,-0.133,Daimler Truck Holding AG      N
TSCO.L,32.4,gross_margin,0.07626,0.072,TESCO PLC ORD 6 1/3P
EME,32.3,gross_margin,0.19294001,0.197,"EMCOR Group, Inc."
SEB-A.ST,32.2,gross_margin,0.0,-0.068,Skandinaviska Enskilda Banken s
CBRE,31.9,gross_margin,0.18501,0.186,CBRE Group Inc
MAERSK-B.CO,31.8,avg_volume,0.15996,-0.026,A.P. Møller - Mærsk B A/S
VMC,31.8,gross_margin,0.27684,0.074,Vulcan Materials Company (Holdi
HEI.DE,31.2,revenue_growth,0.64184,-0.009,Heidelberg Materials AG       I
SYY,30.9,gross_margin,0.18537001,0.047,Sysco Corporation
SATS,30.8,gross_margin,0.27082002,-0.052,EchoStar Corporation
EPI-A.ST,30.7,revenue_growth,0.36068,-0.076,Epiroc AB ser. A
PRU,30.4,gross_margin,0.28956,0.153,"Prudential Financial, Inc."
SCHP.SW,30.3,revenue_growth,0.73779,-0.051,SCHINDLER PS
MLM,30.2,gross_margin,0.29748,0.172,"Martin Marietta Materials, Inc."
VOD.L,30.2,revenue_growth,0.3147,,VODAFONE GROUP PLC ORD USD0.20 
KER.PA,29.9,revenue_growth,0.72641,,KERING
HAL,29.3,gross_margin,0.15283,-0.003,Halliburton Company
GIVN.SW,28.2,avg_volume,0.43522,-0.018,GIVAUDAN N
HBAN,28.2,gross_margin,0.0,0.336,Huntington Bancshares Incorpora
ABN.AS,27.5,gross_margin,0.0,0.036,ABN AMRO BANK N.V.
MTB,27.2,gross_margin,0.0,0.057,M&T Bank Corporation
HNR1.DE,27.1,gross_margin,0.22308001,-0.228,HANNOVER RUECK SE NA O.N.
NTGY.MC,26.9,revenue_growth,0.40171,-0.069,"NATURGY ENERGY GROUP, S.A."
NTRS,26.8,gross_margin,0.0,0.139,Northern Trust Corporation
HEN3.DE,26.7,revenue_growth,0.50847,-0.063,Henkel AG & Co. KGaA          I
ACGL,26.6,revenue_growth,0.39369,-0.033,Arch Capital Group Ltd.
SIKA.SW,26.3,revenue_growth,0.54936004,-0.079,SIKA N
DTE,25.7,gross_margin,0.28689,0.158,DTE Energy Company
VIE.PA,25.7,gross_margin,0.17733999,,VEOLIA ENVIRON.
MTZ,25.6,gross_margin,0.12824,0.345,"MasTec, Inc."
REP.MC,25.6,gross_margin,0.29479998,0.084,"REPSOL,  S.A."
STRL,25.6,gross_margin,0.23287001,0.916,"Sterling Infrastructure, Inc."
TLX.DE,25.6,gross_margin,0.22693,-0.035,Talanx AG                     N
FISV,25.4,gross_margin,,,"Fiserv, Inc."
CNC,25.3,gross_margin,0.10559,0.051,Centene Corporation
SLHN.SW,25.2,avg_volume,0.34651002,0.011,SWISS LIFE HOLDING AG N
III.L,25.0,gross_margin,,,3I GROUP PLC ORD 73 19/22P
CASY,24.8,gross_margin,0.24535999,0.003,"Caseys General Stores, Inc."
NRG,24.4,gross_margin,0.16445999,0.195,"NRG Energy, Inc."
KNIN.SW,24.3,revenue_growth,0.36519,-0.115,KUEHNE+NAGEL INT N
SMCI,24.3,gross_margin,0.08394,1.227,"Super Micro Computer, Inc."
SAMPO.HE,23.5,revenue_growth,0.40976003,-0.078,Sampo Plc A
FOXA,23.4,revenue_growth,0.36843,-0.086,Fox Corporation
VWS.CO,23.3,gross_margin,0.13504,0.144,Vestas Wind Systems A/S
FTI,23.2,gross_margin,0.22584999,0.116,TechnipFMC plc
BT-A.L,22.9,revenue_growth,0.47145998,-0.039,BT GROUP PLC ORD 5P
JBHT,22.6,gross_margin,0.18861,0.046,"J.B. Hunt Transport Services, I"
CFG,22.5,gross_margin,0.0,0.138,"Citizens Financial Group, Inc."
FN,22.4,gross_margin,0.12037,0.393,Fabrinet
BG,22.3,gross_margin,0.04442,0.878,Bunge Limited
TEF.MC,22.2,revenue_growth,0.45129,-0.124,"TELEFONICA,S.A."
XPO,22.0,gross_margin,0.18556,0.073,"XPO, Inc."
DOW,21.8,gross_margin,0.06255,-0.061,Dow Inc.
NHY.OL,21.6,revenue_growth,0.3525,-0.117,NORSK HYDRO
EXO.AS,21.4,gross_margin,0.0,,EXOR
ATI,21.1,gross_margin,0.23199,0.006,ATI Inc.
CINF,21.1,gross_margin,0.27938998,0.116,Cincinnati Financial Corporatio
AV.L,21.0,gross_margin,0.19179001,0.371,AVIVA PLC ORD 32 17/19P
CRS,20.9,gross_margin,0.29735002,0.116,Carpenter Technology Corporatio
FOX,20.9,revenue_growth,0.36843,-0.086,Fox Corporation
OMV.VI,20.9,revenue_growth,0.32265,-0.041,OMV AG
HPQ,20.6,gross_margin,0.20315,0.09,HP Inc.
ALFA.ST,20.3,revenue_growth,0.36625,-0.033,Alfa Laval AB
RF,20.3,gross_margin,0.0,0.073,Regions Financial Corporation
SYF,20.2,gross_margin,0.0,0.061,Synchrony Financial
VACN.SW,20.2,avg_volume,0.61017,0.047,VAT GROUP N
STZ,20.1,revenue_growth,0.51651,-0.113,"Constellation Brands, Inc."
UTHR,20.1,revenue_growth,0.86583,-0.016,United Therapeutics Corporation
VER.VI,20.1,revenue_growth,0.47465,-0.155,VERBUND AG Kat. A
SMT.L,19.8,gross_margin,,,SCOTTISH MORTGAGE INVESTMENT TR
DRI,19.7,gross_margin,0.21507,0.059,"Darden Restaurants, Inc."
KEY,19.6,gross_margin,0.0,0.118,KeyCorp
PSTG,19.3,revenue_growth,0.70381,,"Everpure, Inc."
SNX,19.3,gross_margin,0.07097,0.181,TD SYNNEX Corporation
NXT,19.2,gross_margin,0.2192,-0.047,Nextpower Inc.
