ticker,stage,reason_code,severity_bucket,is_large_cap,sector_wide,market_cap_eur,gics_sector,detail
AMS.VI,resolution,RESOLUTION_DEGRADED_DICT,REVIEW,False,False,,,
BK,resolution,RESOLUTION_DEGRADED_DICT,REVIEW,False,False,,,
PSTG,resolution,RESOLUTION_DEGRADED_DICT,REVIEW,False,False,,,
RIGN.SW,resolution,RESOLUTION_DEGRADED_DICT,REVIEW,False,False,,,
ROL.L,resolution,RESOLUTION_DEGRADED_DICT,REVIEW,False,False,,,
SANO.HE,resolution,RESOLUTION_DEGRADED_DICT,REVIEW,False,False,,,
SCHA.OL,resolution,RESOLUTION_DEGRADED_DICT,REVIEW,False,False,,,
GLB.IR,resolution,RESOLUTION_NO_SYMBOL_DATA,REVIEW,False,False,,,NO_RAW_MC
ML.PA,resolution,RESOLUTION_NO_SYMBOL_DATA,REVIEW,False,False,,,NO_RAW_MC
RNL.PA,resolution,RESOLUTION_NO_SYMBOL_DATA,REVIEW,False,False,,,NO_RAW_MC
1COV.DE,basis_gates,GATE_VOLUME,REVIEW,True,False,11320645632.0,,
AA,basis_gates,GATE_GROSS_MARGIN,BENIGN,True,False,10361889477.12,Basic Materials,
ABF.L,basis_gates,GATE_GROSS_MARGIN,BENIGN,True,False,17070684123.136,Consumer Defensive,
ABN.AS,basis_gates,FRAMEWORK_METRIK_NA,BENIGN,True,False,31782494208.0,Financial Services,
AC.PA,basis_gates,GATE_GROSS_MARGIN,BENIGN,True,False,10443255808.0,Consumer Cyclical,
ACA.PA,basis_gates,FRAMEWORK_METRIK_NA,BENIGN,True,False,58316222464.0,Financial Services,
ACGL,basis_gates,FRAMEWORK_METRIK_NA,BENIGN,True,False,29738532039.68,Financial Services,
ACM,basis_gates,GATE_GROSS_MARGIN,BENIGN,True,False,8071024125.440001,Industrials,
ADC,basis_gates,FRAMEWORK_METRIK_NA,BENIGN,True,False,8129384084.4800005,Real Estate,
ADEN.SW,basis_gates,GATE_GROSS_MARGIN,BENIGN,True,False,4186375183.9999995,Industrials,
ADM,basis_gates,GATE_GROSS_MARGIN,BENIGN,True,False,33142568949.760002,Consumer Defensive,
ADM.L,basis_gates,FRAMEWORK_METRIK_NA,BENIGN,True,False,13179988770.816,Financial Services,
AFG,basis_gates,FRAMEWORK_METRIK_NA,BENIGN,True,False,10214777466.880001,Financial Services,
AFL,basis_gates,FRAMEWORK_METRIK_NA,BENIGN,True,False,56288080558.08,Financial Services,
AGCO,basis_gates,GATE_REVENUE_GROWTH,BENIGN,True,False,6206478199.04,Industrials,
AGS.BR,basis_gates,FRAMEWORK_METRIK_NA,BENIGN,True,False,15043468288.0,Financial Services,
AHR,basis_gates,FRAMEWORK_METRIK_NA,BENIGN,True,False,9295575022.08,Real Estate,
AIG,basis_gates,FRAMEWORK_METRIK_NA,BENIGN,True,False,36143178885.12,Financial Services,
AIXA.DE,basis_gates,GATE_GROSS_MARGIN,BENIGN,True,False,4090743040.0,Technology,
AIZ,basis_gates,FRAMEWORK_METRIK_NA,BENIGN,True,False,12000305108.480001,Financial Services,
AKZA.AS,basis_gates,GATE_REVENUE_GROWTH,REVIEW,True,False,10407408640.0,Basic Materials,
ALL,basis_gates,FRAMEWORK_METRIK_NA,BENIGN,True,False,58972402380.8,Financial Services,
ALLFG.AS,basis_gates,GATE_REVENUE_GROWTH,BENIGN,True,False,5296156160.0,Financial Services,
ALLY,basis_gates,FRAMEWORK_METRIK_NA,BENIGN,True,False,11434494126.08,Financial Services,
ALO.PA,basis_gates,GATE_GROSS_MARGIN,BENIGN,True,False,7438865920.0,Industrials,
ALV.DE,basis_gates,FRAMEWORK_METRIK_NA,BENIGN,True,False,164041310208.0,Financial Services,
AMG,basis_gates,FRAMEWORK_METRIK_NA,BENIGN,True,False,8402695275.52,Financial Services,
