ticker,stage,reason_code,severity_bucket,is_large_cap,sector_wide,market_cap_eur,gics_sector,detail
AMS.VI,resolution,RESOLUTION_DEGRADED_DICT,REVIEW,False,False,,,
BK,resolution,RESOLUTION_DEGRADED_DICT,REVIEW,False,False,,,
MASI,resolution,RESOLUTION_DEGRADED_DICT,REVIEW,False,False,,,
PSTG,resolution,RESOLUTION_DEGRADED_DICT,REVIEW,False,False,,,
RIGN.SW,resolution,RESOLUTION_DEGRADED_DICT,REVIEW,False,False,,,
ROL.L,resolution,RESOLUTION_DEGRADED_DICT,REVIEW,False,False,,,
SANO.HE,resolution,RESOLUTION_DEGRADED_DICT,REVIEW,False,False,,,
SATS,resolution,RESOLUTION_DEGRADED_DICT,REVIEW,False,False,,,
SCHA.OL,resolution,RESOLUTION_DEGRADED_DICT,REVIEW,False,False,,,
AGS.BR,resolution,RESOLUTION_NO_SYMBOL_DATA,REVIEW,False,False,,Financial Services,NO_RAW_MC
ALO.PA,resolution,RESOLUTION_NO_SYMBOL_DATA,REVIEW,False,False,,Industrials,NO_RAW_MC
ALV.DE,resolution,RESOLUTION_NO_SYMBOL_DATA,REVIEW,False,False,,Financial Services,NO_RAW_MC
ASSA-B.ST,resolution,RESOLUTION_NO_SYMBOL_DATA,REVIEW,False,False,,Industrials,NO_RAW_MC
AZO,resolution,RESOLUTION_NO_SYMBOL_DATA,REVIEW,False,False,,Consumer Cyclical,NO_RAW_MC
CMC,resolution,RESOLUTION_NO_SYMBOL_DATA,REVIEW,False,False,,Industrials,NO_RAW_MC
CON.DE,resolution,RESOLUTION_NO_SYMBOL_DATA,REVIEW,False,False,,Consumer Cyclical,NO_RAW_MC
CRDA.L,resolution,RESOLUTION_NO_SYMBOL_DATA,REVIEW,False,False,,Basic Materials,NO_RAW_MC
DCI,resolution,RESOLUTION_NO_SYMBOL_DATA,REVIEW,False,False,,Industrials,NO_RAW_MC
ENX.PA,resolution,RESOLUTION_NO_SYMBOL_DATA,REVIEW,False,False,,Financial Services,NO_RAW_MC
G1A.DE,resolution,RESOLUTION_NO_SYMBOL_DATA,REVIEW,False,False,,Industrials,NO_RAW_MC
GLB.IR,resolution,RESOLUTION_NO_SYMBOL_DATA,REVIEW,False,False,,,NO_RAW_MC
HLMA.L,resolution,RESOLUTION_NO_SYMBOL_DATA,REVIEW,False,False,,Industrials,NO_RAW_MC
ITRK.L,resolution,RESOLUTION_NO_SYMBOL_DATA,REVIEW,False,False,,Industrials,NO_RAW_MC
ITT,resolution,RESOLUTION_NO_SYMBOL_DATA,REVIEW,False,False,,Industrials,NO_RAW_MC
ITX.MC,resolution,RESOLUTION_NO_SYMBOL_DATA,REVIEW,False,False,,Consumer Cyclical,NO_RAW_MC
KBC.BR,resolution,RESOLUTION_NO_SYMBOL_DATA,REVIEW,False,False,,Financial Services,NO_RAW_MC
LXS.DE,resolution,RESOLUTION_NO_SYMBOL_DATA,REVIEW,False,False,,Basic Materials,NO_RAW_MC
ML.PA,resolution,RESOLUTION_NO_SYMBOL_DATA,REVIEW,False,False,,,NO_RAW_MC
MSM,resolution,RESOLUTION_NO_SYMBOL_DATA,REVIEW,False,False,,Industrials,NO_RAW_MC
OCI.AS,resolution,RESOLUTION_NO_SYMBOL_DATA,REVIEW,False,False,,Basic Materials,NO_RAW_MC
PUM.DE,resolution,RESOLUTION_NO_SYMBOL_DATA,REVIEW,False,False,,Consumer Cyclical,NO_RAW_MC
PVH,resolution,RESOLUTION_NO_SYMBOL_DATA,REVIEW,False,False,,Consumer Cyclical,NO_RAW_MC
RBI.VI,resolution,RESOLUTION_NO_SYMBOL_DATA,REVIEW,False,False,,Financial Services,NO_RAW_MC
RCO.PA,resolution,RESOLUTION_NO_SYMBOL_DATA,REVIEW,False,False,,Consumer Defensive,NO_RAW_MC
